Year,Month,Customer Code,Industry,Revenue Type,Product,Product Mix,Revenue,Gross Profit
2020,1,Intercompany Eliminations,Intercompany Eliminations,Reoccurring,Apex ERP Suite,Software & Platforms,"  146,493 ","  146,493 "
2020,1,Intercompany Eliminations,Intercompany Eliminations,Recurring,Helix Maintenance Plans,Managed IT & Cloud Services,"  (13,306)","  (13,306)"
2020,1,Intercompany Eliminations,Intercompany Eliminations,Recurring,Skyline Remote Monitoring,Managed IT & Cloud Services,  -   ,  -   
2020,1,Intercompany Eliminations,Intercompany Eliminations,Reoccurring,StreamMedia Solutions,Consulting & Implementation Services,  -   ,  -   
2020,1,Intercompany Eliminations,Intercompany Eliminations,Reoccurring,OperateX Staffing,Consulting & Implementation Services,"  (1,766)","  (1,766)"
2020,1,Intercompany Eliminations,Intercompany Eliminations,Reoccurring,OperateX Fulfillment,Software & Platforms,  (89),  -   
2020,1,Intercompany Eliminations,Intercompany Eliminations,Reoccurring,DeliverIT Solutions,Software & Platforms,  -   ,  -   
2020,1,Intercompany Eliminations,Intercompany Eliminations,Reoccurring,Insight Advisory,Consulting & Implementation Services,  -   ,  -   
2020,1,Intercompany Eliminations,Intercompany Eliminations,Recurring,FieldSite On-Prem Services,Managed IT & Cloud Services,"  (11,407)","  (11,407)"
2020,1,Customer 280,Aerospace & Defense,Recurring,Helix Maintenance Plans,Managed IT & Cloud Services,"  (16,155)","  (16,155)"
2020,1,Customer 81,Pharmaceuticals & Biotech,Recurring,Helix Maintenance Plans,Managed IT & Cloud Services,  35 ,  25 
2020,1,Customer 286,Logistics & Freight,Recurring,Helix Maintenance Plans,Managed IT & Cloud Services,  580 ,  424 
2020,1,Customer 286,Logistics & Freight,Recurring,Skyline Remote Monitoring,Managed IT & Cloud Services,"  20,114 ","  12,518 "
2020,1,Customer 288,Consulting & Advisory,Reoccurring,StreamMedia Solutions,Consulting & Implementation Services,"  4,457 ",  676 
2020,1,Customer 290,Pharmaceuticals & Biotech,Recurring,Helix Maintenance Plans,Managed IT & Cloud Services,"  2,303 ",  866 
2020,1,Customer 243,Industrial Equipment & Utilities,Recurring,Helix Maintenance Plans,Managed IT & Cloud Services,"  2,917 ","  2,134 "
2020,1,Customer 243,Industrial Equipment & Utilities,Recurring,Skyline Remote Monitoring,Managed IT & Cloud Services,"  14,607 ","  9,699 "
